agency_name,sworn_active_persnl,agency_type,state,county,city,zip,fips,addr1,addr2
Collin County Constable Pct. 1,9,Constable/marshal,TX,Collin,Mckinney,75069,48085,"200 S. Mcdonald, Suite 220", 
Dalton College Dept of Public Safety,9,Special jurisdiction,GA,Whitfield,Dalton,30260,13313,650 College Dr., 
Orange County Sheriff's Office,9,Sheriff's office,IN,Orange,Paoli,47454,18117,Po Box 1468, 
"New Jersey Division of Alcoholic Beverage Control, Investigations",9,Special jurisdiction,NJ,Mercer,Trenton,8625,34021,140 E. Front St.,P.O. Box 087
Carmi Police Dept,9,Local police department,IL,White,Carmi,62821,17193,108 N Main Cross, 
Collin County Constable Pct. 4,9,Constable/marshal,TX,Collin,Frisco,75034,48085,"8585 John Wesley Dr., Suite 100", 
Eastfield College Police Dept.,9,Special jurisdiction,TX,Dallas,Mesquite,75150,48113,3737 Motley Drive C-140, 
Clear Lake Shores Police Department,9,Local police department,TX,Galveston,Clear Lake,77565,48167,1006 S. Shore Drive, 
Dwight Police Dept,9,Local police department,IL,Livingston,Dwight,60420,17105,209 South Prairie Ave., 
Lincoln County Sheriff's Office,9,Sheriff's office,KY,Lincoln,Stanford,40484,21137,4151 Thornton Taylor Pkwy, 
Black Hawk College Police Dept,9,Special jurisdiction,IL,Rock Island,Moline,61265,17161,6600 34Th Ave, 
Missoula International Airport Police,9,Special jurisdiction,MT,Missoula,Missoula,59808,30063,5225 Highway 10 W, 
Wayne County Sheriff's Office,9,Sheriff's office,KY,Wayne,Monticello,42633,21231,510 N Pearl St, 
Buckley Police Department,9,Local police department,WA,Pierce,Buckley,98321,53053,133 South Cedar Street,PO BOX 640
Oregon Police Dept,9,Local police department,IL,Ogle,Oregon,61061,17141,115 N 3Rd Street, 
Galveston I.S.D. Police Dept.,9,Special jurisdiction,TX,Galveston,Galveston,77550,48167,"4115 Ave. O, Suite 1035", 
Troy Housing Authority Dept of Public Safety,9,Special jurisdiction,NY,Rensselaer,Troy,12180,36083,1776 Sixth Avenue, 
Lawrence Township Police Department,9,Local police department,PA,Clearfield,Hyde,16843,42033,6740 Erie Ave N, 
Yavapai-Prescott Tribal Police Department,9,Local police department,AZ,Yavapai,Prescott,86301,4025,530 East Merritt, 
Orting Police Department,9,Local police department,WA,Pierce,Orting,98360,53053,Po Box 489, 
Athens Township Police Department,9,Local police department,PA,Bradford,Sayre,18840,42015,45 Herrick Ave, 
Ida County Sheriff's Office,9,Sheriff's office,IA,Ida,Ida Grove,51445,19093,401 Moorehead St, 
Fort Bend County Constable Pct. 3,9,Constable/marshal,TX,Fort Bend,Sugar Land,77478,48157,Ste. 200,12550 Emily Court Drive
Dillon Police Department,9,Local police department,CO,Summit,Dillon,80435,8117,125 North Idaho, 
Forest View Police Dept,9,Local police department,IL,Cook,Forest View,60402,17031,7000 W. 46Th Street, 
Gordon College Dept of Public Safety,9,Special jurisdiction,GA,Lamar,Barnesville,30204,13171,419 College Avenue, 
University of Texas System Police,9,Special jurisdiction,TX,Travis,Austin,78705,48453,"702 Colorado St., Room 6200",Attn: Donna Seymo
Nevada Police Department,9,Local police department,IA,Story,Nevada,50201,19169,120 S Ash Street, 
Itawamba Community College - Fulton Campus Police,9,Special jurisdiction,MS,Itawamba,Fulton,38843,28057,602 West Hill Street, 
Erie Municipal Airport Authority Police,9,Special jurisdiction,PA,Erie,Erie,16505,42049,4411 West 12Th Street, 
Karnes County Sheriff's Office,9,Sheriff's office,TX,Karnes,Karnes City,78118,48255,113 N Panna Maria Ave, 
University of Wisconsin - Parkside Police Department,9,Special jurisdiction,WI,Kenosha,Kenosha,53141,55059,900 Wood Road,P.O. Box 2000
Osceola Police Department,9,Local police department,IA,Clarke,Osceola,50213,19039,310 Chieftan Street,P.O. Box 217
Broadmoor Police Department,9,Local police department,CA,San Mateo,Daly City,94015,6081,388 88Th Street, 
Petersburg Police Dept.,9,Local police department,AK,Wrangell Petersburg,Petersburg,99833,2280,Po Box 329, 
Massachusetts College of Art,9,Special jurisdiction,MA,Suffolk,Boston,2115,25025,621 Huntington Ave, 
Alabama Forestry Commission,9,Special jurisdiction,AL,Montgomery,Montgomery,36130,1101,PO Box 302550, 
Tabor City Police Department,9,Local police department,NC,Columbus,Tabor City,28463,37047,1108 East 5Th St.,1108 East 5th St.
Manhattan Police Dept,9,Local police department,IL,Will,Manhattan,60442,17197,245 State Street,P. O. Box 31
Tonto Apache Tribal Police Department,9,Local police department,AZ,Gila,Payson,85541,4007,Tonto Apache Reservation #30, 
Monticello Police Department,9,Local police department,FL,Jefferson,Monticello,32344,12065,Post Office Box 822, 
Woodstown Police,9,Local police department,NJ,Salem,Woodstown,8098,34033,25 West Avenue, 
West Virginia State University Police Dept,9,Special jurisdiction,WV,Kanawha,Institute,25112,54039,Post Office Box 1000, 
Saddleback Community College District Security,9,Special jurisdiction,CA,Orange,Mission Viejo,92692,6059,2800 Marguerite Pkwy, 
Colquitt Police Department,9,Local police department,GA,Miller,Colquitt,39837,13201,154 West  Street, 
Buchanan Police Department,9,Local police department,GA,Haralson,Buchanan,30113,13143,107 West Front St, 
Clayton Police Department,9,Local police department,GA,Rabun,Clayton,30525,13241,227 S Central Ave, 
Vincennes University Police,9,Special jurisdiction,IN,Knox,Vincennes,47591,18083,"Bldg 57, Sib",1002 N. First Street
Wayne Police Dept,9,Local police department,NE,Wayne,Wayne,68787,31179,P. O. Box 532,5 N 430 Railroad Street
Wilmington International Airport Police Dept,9,Special jurisdiction,NC,New Hanover,Wilmington,28405,37129,1740 Airport Blvd, 
Clare Police Department,8,Local police department,MI,Clare,Clare,48617,26035,207 W Fifth St, 
Jasper Police Department,8,Local police department,FL,Hamilton,Jasper,32052,12047,208 West Hatley Street, 
Clay County Sheriff's Office,8,Sheriff's office,KS,Clay,Clay Center,67432,20027,539 Lincoln Ave,PO Box 115
Crawford County Sheriff's Office,8,Sheriff's office,IN,Crawford,English,47118,18025,Po Box 220,715 Judicial Plaza
New Boston Police Department,8,Local police department,NH,Hillsborough,New Boston,3070,33011,Po Box 338,116 Old Coach Road
Holly Ridge Police Department,8,Local police department,NC,Onslow,Holly Ridge,28445,37133,Po Box 145, 
Oconto Police Department,8,Local police department,WI,Oconto,Oconto,54153,55083,1210 Main Street, 
Butler Police Department,8,Local police department,WI,Waukesha,Butler,53007,55133,12621 West Hampton Avenue, 
Mitchell County Sheriff's Office,8,Sheriff's office,KS,Mitchell,Beloit,67420,20123,Po Box 338,114 S Campbell
Shepherd University Security Police,8,Special jurisdiction,WV,Jefferson,Shepherdstown,25443,54037,Post Office Box 3210, 
Summerton Police Department,8,Local police department,SC,Clarendon,Summerton,29148,45027,Po Box 279, 
Marin Community College District Police,8,Special jurisdiction,CA,Marin,Kentfield,94904,6041,835 College Ave, 
Clinton County Sheriff's Office,8,Sheriff's office,PA,Clinton,Lock Haven,17745,42035,230 E Water St, 
New Whiteland Police,8,Local police department,IN,Johnson,New Whiteland,46184,18081,300 Tracy Road, 
Northfield Village Police Department,8,Local police department,OH,Summit,Northfield,44067,39153,10455 Northfield Road, 
Prairie Island Indian Community Tribal Police Dept,8,Local police department,MN,Goodhue,Welch,55089,27049,1900 Buffalo Slough Trail, 
Deerfield Police Department,8,Local police department,NH,Rockingham,Deerfield,3037,33015,Po Box 357,8 Raymond Road
Cle Elum Police Department,8,Local police department,WA,Kittitas,Cle Elum,98922,53037,"700 East 1St Street, Suite B", 
West Milton Police Department,8,Local police department,OH,Miami,West Milton,45383,39109,701 South Miami Street, 
Hillsboro Police Department,8,Local police department,MO,Jefferson,Hillsboro,63050,29099,Po Box 125, 
Edcouch Police Department,8,Local police department,TX,Hidalgo,Edcouch,78538,48215,P. O. Box 100,211 Southern
Marked Tree Police Department,8,Local police department,AR,Poinsett,Marked Tree,72365,5111,#1 Elm Street, 
Wamego Police Department,8,Local police department,KS,Pottawatomie,Wamego,66547,20149,Po Box 86, 
Lindsay Police Department,8,Local police department,OK,Garvin,Lindsay,73052,40049,101 E. Kiowa, 
Krum Police Department,8,Local police department,TX,Denton,Krum,76249,48121,117 West Mccart,P. O. BOX 847
South Pittsburg Police Department,8,Local police department,TN,Marion,South Pittsburg,37380,47115,205 Elm Ave., 
Clay County Sheriff's Office,8,Sheriff's office,MS,Clay,West Point,39773,28025,539 Lincoln Ave,PO Box 115
Doniphan Police Department,8,Local police department,MO,Ripley,Doniphan,63935,29181,124 Jefferson St, 
St. Francisville Police Department,8,Local police department,LA,West Feliciana,Saint Francisville,70775,22125,PO BOX 400, 
Wright City Police Department,8,Local police department,MO,Warren,Wright City,63390,29219,Po Box 436, 
Williamson Police Department,8,Local police department,WV,Mingo,Williamson,25661,54059,Post Office Box 1517, 
Gouverneur Village Police Department,8,Local police department,NY,St. Lawrence,Gouverneur,13642,36089,33 Clinton Street, 
New London Police,8,Local police department,NH,Merrimack,New London,3257,33013,25 Seamans Road,375 Main Street
Benton Police Department,8,Local police department,LA,Bossier,Benton,71006,22015,Po Box 1390, 
Palmerton Borough Police Department,8,Local police department,PA,Carbon,Palmerton,18071,42025,401 Delaware Ave, 
Allegheny Township Police Department,8,Local police department,PA,Westmoreland,Leechburg,15656,42129,136 Community Bldg Rd, 
Custer County Sheriff's Office,8,Sheriff's office,ID,Custer,Challis,83226,16037,Po Box 344,801 B Main St
Georgetown Police Department,8,Local police department,OH,Brown,Georgetown,45121,39015,108 East State Street, 
Springfield Township Police,8,Local police department,NJ,Burlington,Jobstown,8041,34005,2159 Jacksonville-Jobstown Road,P.O. Box 119
Montesano Police Department,8,Local police department,WA,Grays Harbor,Montesano,98563,53027,112 North Main Street, 
Lincoln Police Department,8,Local police department,NH,Grafton,Lincoln,3251,33009,169 Lincoln Road, 
Covington County Sheriff's Office,8,Sheriff's office,MS,Covington,Collins,39428,28031,Po Box 545,203 First St
Geneseo Village Police Department,8,Local police department,NY,Livingston,Geneseo,14454,36051,119 Main Street, 
Wright Township Police Department,8,Local police department,PA,Luzerne,Mountain Top,18707,42079,321 S Mountain Blvd, 
Coloma Township Police Department,8,Local police department,MI,Berrien,Coloma,49038,26021,4919 Paw Paw Lake Rd., 
Plainwell Dept of Public Safety,8,Local police department,MI,Allegan,Plainwell,49080,26005,141 N Main St, 
Upper Nazareth Township Police Department,8,Local police department,PA,Northampton,Nazareth,18064,42095,100 Newport Ave, 
Gilberts Police Dept,8,Local police department,IL,Kane,Gilberts,60136,17089,86 Railroad Street, 
Breckinridge County Sheriff's Office,8,Sheriff's office,KY,Breckinridge,Hardinsburg,40143,21027,Po Box 127, 
Pennington County Sheriff's Office,8,Sheriff's office,MN,Pennington,Thief River Falls,56701,27113,102 1St St W,PO Box 484
Talbot County Sheriff's Office,8,Sheriff's office,GA,Talbot,Talbotton,31827,13263,Po Box 544, 
Clarksville Police Department,8,Local police department,TX,Red River,Clarksville,75426,48387,800 W. Main Street, 
Greene County Park District Ranger Unit,8,Special jurisdiction,OH,Greene,Xenia,45385,39057,651 Dayton Xenia Road, 
Winston Police Department,8,Local police department,OR,Douglas,Winston,97496,41019,201 Nw Douglas, 
Mogadore Police Department,8,Local police department,OH,Summit,Mogadore,44260,39153,111 S. Cleveland Ave., 
Fairfax Police Department,8,Local police department,OH,Hamilton,Cincinnati,45227,39061,5903 Hawthorne Avenue, 
McKees Rocks Borough Police Department,8,Local police department,PA,Allegheny,McKees Rocks,15136,42003,340 Bell Ave, 
Sullivan's Island Police Department,8,Local police department,SC,Charleston,Sullivan's Island,29482,45019,1608 Middle Street, 
Jackson County Sheriff's Office,8,Sheriff's office,MN,Jackson,Jackson,56143,27063,Po Box 98, 
Pike County Sheriff's Office,8,Sheriff's office,AR,Pike,Murfreesboro,71958,5109,500 Broad St, 
Glennville Police Department,8,Local police department,GA,Tattnall,Glennville,30427,13267,201 South Church Street, 
Hayti Police Department,8,Local police department,MO,Pemiscot,Hayti,63851,29155,300 E Main Street, 
Lawnside Police,8,Local police department,NJ,Camden,Lawnside,8045,34007,4 Douglas Avenue, 
Pushmataha County Sheriff's Office,8,Sheriff's office,OK,Pushmataha,Antlers,74523,40127,207 Sw 3Rd St, 
Bent County Sheriff's Office,8,Sheriff's office,CO,Bent,Las Animas,81054,8011,11100 County Rd Gg5, 
Chelsea Police Department,8,Local police department,MI,Washtenaw,Chelsea,48118,26161,104 E Middle St, 
Edinboro Borough Police Department,8,Local police department,PA,Erie,Edinboro,16412,42049,124 Meadville St, 
Waynesburg Borough Police Department,8,Local police department,PA,Greene,Waynesburg,15370,42059,90 E High St, 
Swartz Creek Police Department,8,Local police department,MI,Genesee,Swartz Creek,48473,26049,8100-A Civic Drive, 
Buhl Police Department,8,Local police department,ID,Twin Falls,Buhl,83316,16083,201 N Broadway, 
Prague Police Department,8,Local police department,OK,Lincoln,Prague,74864,40081,1116 N. Jim Thorpe Blvd., 
Zelienople Borough Police Department,8,Local police department,PA,Butler,Zelienople,16063,42019,111 West New Castle St, 
Dallas Township Police Department,8,Local police department,PA,Luzerne,Dallas,18612,42079,P.O. Box 518, 
Newport Police Department,8,Local police department,DE,New Castle,Newport,19804,10003,120 Broadway, 
Villa Hills Police Department,8,Local police department,KY,Kenton,Villa Hills,41017,21117,719 Rogers Rd., 
Ocean View Police Department,8,Local police department,DE,Sussex,Ocean View,19970,10005,201 Central Avenue, 
Mound Bayou Police Department,8,Local police department,MS,Bolivar,Mound Bayou,38762,28011,Post Office Box 680, 
Texas County Sheriff's Office,8,Sheriff's office,MO,Texas,Houston,65483,29215,115 E Main St, 
Newcomerstown Police Department,8,Local police department,OH,Tuscarawas,Newcomerstown,43832,39157,124 West Church Street,P.O. Box 151
Muldrow Police Department,8,Local police department,OK,Sequoyah,Muldrow,74948,40135,P. O. Box 429, 
Stamford Police Department,8,Local police department,TX,Jones,Stamford,79553,48253,Box 191,115 N. SWENSON
East Prairie Police Department,8,Local police department,MO,Mississippi,East Prairie,63845,29133,219 N Washington St, 
Bridgton Police Department,8,Local police department,ME,Cumberland,Bridgton,4009,23005,8 Iredale Street, 
Richfield Township Police Department,8,Local police department,MI,Genesee,Davison,48423,26049,5381 N State Rd, 
Duck Police Department,8,Local police department,NC,Dare,Duck,27949,37055,Po Box 8369, 
Wilson Borough Police Department,8,Local police department,PA,Northampton,Easton,18042,42095,2035 Butler Street, 
Boundary County Sheriff's Office,8,Sheriff's office,ID,Boundary,Bonners Ferry,83805,16021,Po Box 127,6438 Kootenai St
Lower Heidelberg Township Police Department,8,Local police department,PA,Berks,Reading,19608,42011,720 Brownsville Rd, 
Rising Sun Police,8,Local police department,IN,Ohio,Rising Sun,47040,18115,300 South Poplar Street, 
Franklin County Sheriff's Office,8,Sheriff's office,NY,Franklin,Malone,12953,36033,157 Lincoln Way E, 
Kingfisher County Sheriff's Office,8,Sheriff's office,OK,Kingfisher,Kingfisher,73750,40073,119 S Main St, 
Jourdanton Police Department,8,Local police department,TX,Atascosa,Jourdanton,78026,48013,1212-A Simmons Avenue, 
